"id","surfweight","year","age","gender","ethnicity","education","labour_force_status","partner","parent","number_children","tenure","hh_income","deprivation_area","migrant","disability","home_afford","life_satisfy","life_worth","health","tereo","gov_tereo","selfactual","trust","trust_police","trust_media","trust_parliament","voted","material_wellbeing_index","housecold","housedamp","moves","access_medical","access_green_space","access_public_transport","neighbourhood_connection","neighbourhood_crime_change","victim","discriminated_against","lonely_four_weeks","easy_hard_to_talk","number_children_text","moves_five_years_text","age_gp","hh_income_gp","weekly_income","annual_income","weekly_hours"
1,3238.951,2021,18,"Female","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",103571,6,"Medium-term migrant","Non-disabled",10,10,8,"Excellent","None or almost none","Agree","Sometimes easy, sometimes hard",8,10,10,7,"No",5,"Yes, often","No",NA,NA,NA,NA,NA,"A little more",0,0,"A little of the time","Easy","0",NA,"15-24",3,"   357.8",16560,6
2,6468.014,2021,55,"Male","Māori","Post-secondary NCEA/diploma","Employed","Partnered","Not a parent",0,"Owned without mortgage",181952,1,"Long-term migrant","Non-disabled",5,8,9,"Excellent","None or almost none","Strongly agree","Sometimes easy, sometimes hard",9,9,5,7,"Yes",18,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","0",NA,"55-64",3,"   825.7",37904,34
3,4822.019,2021,27,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Not partnered","Parent",2,"Rented",33244,8,"NZ with NZ parents","Non-disabled",9,8,8,"Very Good","None or almost none","Neither agree nor disagree","Easy to be myself",5,8,6,7,"Yes",5,"Yes, often","No",NA,NA,NA,NA,NA,"A lot less",0,0,"None of the time","Easy","2",NA,"25-34",1,"  1191.9",55200,46
4,4549.766,2021,60,"Female","European/Other","Less than secondary school","Employed","Partnered","Not a parent",0,"Owned without mortgage",154471,4,"NZ with NZ parents","Non-disabled",7,8,8,"Very Good","None or almost none","Disagree","Easy to be myself",7,9,5,3,"Yes",19,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Very easy","0",NA,"55-64",3,"   463.1",20976,32
5,3157.55,2021,47,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Parent",1,"Owned with mortgage",105049,5,"NZ with overseas parent(s)","Disabled",4,8,9,"Very Good","None or almost none","Disagree","Easy to be myself",6,9,4,5,"Yes",18,"No","Yes, sometimes",NA,NA,NA,NA,NA,"A lot less",0,0,"None of the time","Easy","1",NA,"45-54",3,"   661.7",30176,34
6,2717.784,2021,23,"Male","European/Other","Less than secondary school","Not in labour force","Not partnered","Not a parent",0,"Owned without mortgage",109651,3,"NZ with NZ parents","Non-disabled",6,8,9,"Very Good","None or almost none","Agree","Easy to be myself",8,9,6,9,"Yes",17,"No","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"A little of the time","Very easy","0",NA,"15-24",3,"   368.4",17296,26
7,13441.86,2021,57,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Partnered","Not a parent",0,"Owned without mortgage",114488,2,"NZ with NZ parents","Non-disabled",7,8,8,"Good","None or almost none","Neither agree nor disagree","Easy to be myself",8,9,5,7,"Yes",18,"Yes, sometimes","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,1,"A little of the time","Sometimes easy, sometimes hard","0",NA,"55-64",3,"   354.1",16192,32
8,7413.058,2021,45,"Male","European/Other","Degree","Employed","Partnered","Parent",1,"Rented",121458,2,"Long-term migrant","Non-disabled",10,7,8,"Excellent","Conversational","Agree","Sometimes easy, sometimes hard",7,8,6,8,"Yes",13,"No","No",NA,NA,NA,NA,NA,"A lot more",0,0,"Some of the time","Sometimes easy, sometimes hard","1",NA,"45-54",3,"  1303.6",60352,18
9,547.0136,2021,45,"Female","Asian","Degree","Employed","Partnered","Parent",1,"Owned without mortgage",127119,5,"Long-term migrant","Non-disabled",4,7,9,"Good","Basic","Disagree","Sometimes easy, sometimes hard",5,8,5,3,"Yes",11,"No","No",NA,NA,NA,NA,NA,"About the same",0,1,"None of the time","Very easy","1",NA,"45-54",3,"   301.8",13984,22
10,8311.392,2021,57,"Male","European/Other","Post-secondary NCEA/diploma","Employed","Not partnered","Not a parent",0,"Owned without mortgage",39319,7,"NZ with NZ parents","Non-disabled",3,7,8,"Very Good","None or almost none","Disagree","Easy to be myself",7,8,3,7,"Yes",15,"No","No",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Very easy","0",NA,"55-64",1,"   850.4",39008,41
11,1921.758,2021,31,"Female","European/Other","Secondary school","Not in labour force","Not partnered","Not a parent",0,"Rented",19421,1,"NZ with NZ parents","Non-disabled",10,4,3,"Good","None or almost none","Agree","Very easy to be myself",7,7,4,6,"Yes",10,"Yes, sometimes","No",NA,NA,NA,NA,NA,"A lot less",0,0,"A little of the time","Easy","0",NA,"25-34",1,"   443.7",20608,31
12,8762.334,2021,36,"Male","European/Other","Less than secondary school","Employed","Partnered","Parent",4,"Owned without mortgage",141250,7,"NZ with overseas parent(s)","Non-disabled",5,8,9,"Excellent","Basic","Agree","Very easy to be myself",7,9,3,7,"Yes",16,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"Some of the time","Sometimes easy, sometimes hard","4+",NA,"35-44",3,"   441.0",20240,32
13,1437.464,2021,43,"Male","European/Other","Secondary school","Not in labour force","Partnered","Parent",3,"Rented",118647,7,"NZ with NZ parents","Non-disabled",6,8,9,"Fair","Basic","Strongly agree","Easy to be myself",7,8,7,10,"Yes",8,"Yes, often","Yes, sometimes",NA,NA,NA,NA,NA,"About the same",0,0,"None of the time","Easy","3",NA,"35-44",3,"  1198.6",55568,68
14,3288.369,2021,85,"Female","European/Other","Post-secondary NCEA/diploma","Not in labour force","Partnered","Not a parent",0,"Owned with mortgage",82401,2,"NZ with NZ parents","Non-disabled",10,10,10,"Good","None or almost none","Neither agree nor disagree","Very easy to be myself",8,9,5,6,"Yes",20,"No","No",NA,NA,NA,NA,NA,"A little more",0,0,"None of the time","Sometimes easy, sometimes hard","0",NA,"65+",2,"   201.8",8832,17
