Top surnames,Location,1913,1963,1988,2003,2013
1,All NZ,Smith,Smith,Smith,Smith,Smith
2,All NZ,Wilson,Wilson,Williams,Williams,Wilson
3,All NZ,Brown,Brown,Wilson,Wilson,Williams
4,All NZ,Taylor,Williams,Taylor,Brown,Brown
5,All NZ,Jones,Taylor,Brown,Taylor,Taylor
6,All NZ,Williams,Anderson,Jones,Jones,Jones
7,All NZ,Anderson,Jones,Thompson,Thompson,Singh
8,All NZ,Thompson,Thompson,Walker,Anderson,Wang
9,All NZ,Campbell,Scott,Anderson,Lee,Anderson
10,All NZ,Johnson,Walker,King,Harris,Li
11,All NZ,King,Harris,White,Edwards,Thompson
12,All NZ,Clark,King,Campbell,King,Walker
13,All NZ,Scott,Martin,Johnson,Walker,Lee
14,All NZ,Thomas,Johnson,Martin,Martin,Chen
15,All NZ,Walker,Clark,Scott,Singh,Patel
16,All NZ,Martin,Young,Harris,Campbell,Zhang
17,All NZ,Stewart,Campbell,Thomas,Johnson,Martin
18,All NZ,Wright,Stewart,Hall,Robinson,King
19,All NZ,Thomson,Robinson,Stewart,Thomas,Harris
20,All NZ,White,White,Clark,White,Kumar
1,Auckland,Jones,Smith,Smith,Lee,Wang
2,Auckland,Smith,Williams,Williams,Smith,Li
3,Auckland,Taylor,Taylor,Taylor,Williams,Chen
4,Auckland,Wilson,Brown,Jones,Brown,Liu
5,Auckland,Reid,Harris,Wilson,Chen,Smith
6,Auckland,Thompson,Wilson,Brown,Li,Zhang
7,Auckland,Brown,Jones,King,Patel,Lee
8,Auckland,Edwards,Anderson,Patel,Zhang,Patel
9,Auckland,Mills,Clark,Thompson,Kim,Huang
10,Auckland,Murray,Thompson,Walker,Wang,Singh
11,Auckland,Phillips,Walker,Anderson,Jones,Taylor
12,Auckland,Shepherd,Johnson,Stewart,Wilson,Wilson
13,Auckland,Stewart,Martin,Thomas,Huang,Jones
14,Auckland,Armstrong,Scott,Harris,Hall,Brown
15,Auckland,Bennett,Campbell,Johnson,Taylor,Wu
16,Auckland,Carter,Matthews,Shaw,Liu,Yang
17,Auckland,Donovan,Watson,Green,Campbell,Wong
18,Auckland,Greenwood,Davis,Simpson,Walker,Xu
19,Auckland,Hodgson,Mitchell,Bell,King,Kim
20,Auckland,Hogan,White,Martin,Lin,Zhou
1,Wellington,Smith,Smith,Smith,Smith,Smith
2,Wellington,Brown,Taylor,Thompson,Williams,Williams
3,Wellington,Williams,Williams,Wilson,Brown,Patel
4,Wellington,King,Robertson,Williams,Jones,Brown
5,Wellington,Taylor,Wilson,Campbell,Taylor,Jones
6,Wellington,Wilson,Anderson,Brown,King,Taylor
7,Wellington,Reid,Campbell,Jones,Wilson,Wilson
8,Wellington,Richardson,Robinson,Johnson,Edwards,Robinson
9,Wellington,Robertson,Turner,Martin,Campbell,Johnson
10,Wellington,Ward,Brown,Patel,Gray,Anderson
11,Wellington,Collins,King,Anderson,Ferguson,Campbell
12,Wellington,Hill,Thompson,Cook,Johnson,Harris
13,Wellington,Johnson,Young,Ward,Martin,Johnston
14,Wellington,Jones,Lee,Clarke,Simpson,Mitchell
15,Wellington,Parker,Jones,Henderson,Davis,Thomson
16,Wellington,Stewart,Burns,James,Henderson,White
17,Wellington,Bennett,Clark,Stewart,Scott,Young
18,Wellington,Campbell,Cook,Tan,Ward,Baker
19,Wellington,Holmes,Hall,Taylor,White,Collins
20,Wellington,Murphy,Harris,Thomas,Wright,Fraser
1,Christchurch,Smith,Smith,Smith,Smith,Smith
2,Christchurch,Jones,Wilson,Wilson,Wilson,Taylor
3,Christchurch,Rutherford,Williams,Williams,Brown,Brown
4,Christchurch,Taylor,Brown,Taylor,Williams,Jones
5,Christchurch,Wilson,Taylor,Brown,Taylor,Wilson
6,Christchurch,Wright,Anderson,Campbell,Thomas,Williams
7,Christchurch,Cooper,Jones,Thomas,Scott,King
8,Christchurch,Cox,Scott,Wright,Moore,Li
9,Christchurch,Duncan,Wright,Anderson,Harris,Harris
10,Christchurch,Hart,Robinson,Harris,Anderson,Mitchell
11,Christchurch,Henderson,Clark,Jones,Jones,Robinson
12,Christchurch,Roberts,Roberts,Moore,Lee,Scott
13,Christchurch,Thomas,Thompson,Robertson,Robertson,Zhang
14,Christchurch,Watson,Walker,Scott,Watson,Thompson
15,Christchurch,Williams,King,Ward,Hill,Young
16,Christchurch,Adams,Moore,King,Johnson,Lee
17,Christchurch,Allan,Watson,McDonald,Stewart,Wang
18,Christchurch,Allard,Young,Mitchell,Thompson,Johnson
19,Christchurch,Bennett,Gray,Walker,Ward,Martin
20,Christchurch,Boone,Fraser,Davies,Young,Thomson
