"","iso_code","location","continent","total_cases","total_deaths","total_vaccinations","population","population_density","median_age","aged_65_older","gdp_per_capita","life_expectancy","mil_exp_2000USD"
"1","ABW","Aruba","North America",20461,181,NA,107195,584.8,41.2,13.085,35973.781,76.29,NA
"2","AFG","Afghanistan","Asia",158084,7356,NA,39835428,54.422,18.6,2.581,1803.987,64.83,103647294.6
"3","AGO","Angola","Africa",81593,1770,NA,33933611,23.89,16.8,2.405,5819.495,61.15,1371599198
"4","AIA","Anguilla","North America",1674,5,NA,15125,NA,NA,NA,NA,81.88,NA
"5","ALB","Albania","Europe",210224,3217,NA,2872934,104.871,38,13.188,11803.431,78.57,121785571.1
"6","AND","Andorra","Europe",23740,140,NA,77354,163.755,NA,NA,NA,83.73,NA
"7","ARE","United Arab Emirates","Asia",761937,2164,NA,9991083,112.442,34,1.144,67293.483,77.97,8189863727
"8","ARG","Argentina","South America",5654408,117169,76606972,45605823,16.177,31.9,11.198,18933.907,76.67,1617761523
"9","ARM","Armenia","Asia",344930,7972,NA,2968128,102.931,35.7,11.232,8787.58,75.09,158925851.7
"10","ATG","Antigua and Barbuda","North America",4283,119,NA,98728,231.845,32.1,6.933,21490.943,77.02,4318637.275
"11","AUS","Australia","Oceania",425496,2253,42580539,25788217,3.202,37.9,15.504,44648.71,83.44,14863022040
"12","AUT","Austria","Europe",1278619,13733,15687902,9043072,106.749,44.4,19.202,45436.686,81.54,2271603206
"13","AZE","Azerbaijan","Asia",616947,8358,11346166,10223344,119.309,32.4,6.018,15847.419,73,568332665.3
"14","BDI","Burundi","Africa",27366,38,NA,12255429,423.062,17.5,2.562,702.225,61.58,63915831.66
"15","BEL","Belgium","Europe",2105343,28331,21692181,11632334,375.564,41.8,18.571,42658.576,81.63,3708845691
"16","BEN","Benin","Africa",24935,161,NA,12451031,99.11,18.8,3.244,2064.236,61.77,42322645.29
"17","BES","Bonaire Sint Eustatius and Saba","North America",3406,23,NA,26445,NA,NA,NA,NA,77.79,NA
"18","BFA","Burkina Faso","Africa",17632,318,NA,21497097,70.151,17.6,2.409,1703.102,61.58,62188376.75
"19","BGD","Bangladesh","Asia",1585539,28072,NA,166303494,1265.036,27.5,5.098,3523.984,72.59,810176352.7
"20","BGR","Bulgaria","Europe",747108,30955,3700660,6896655,65.18,44.7,20.801,18563.307,75.05,607200400.8
"21","BHR","Bahrain","Asia",282062,1394,3226201,1748295,1935.907,32.4,2.372,43290.705,77.29,459503006
"22","BHS","Bahamas","North America",24476,717,NA,396914,39.497,34.3,8.996,27717.847,73.92,41458917.84
"23","BIH","Bosnia and Herzegovina","Europe",291313,13442,NA,3263459,68.496,42.5,16.569,11713.895,77.4,154607214.4
"24","BLR","Belarus","Europe",699110,5578,NA,9442867,46.858,40.3,14.799,17167.967,74.79,402496994
"25","BLZ","Belize","North America",32840,602,NA,404915,16.426,25,3.853,7824.362,74.62,15547094.19
"26","BMU","Bermuda","North America",6420,110,NA,62092,1308.82,NA,NA,50669.315,82.59,NA
"27","BOL","Bolivia","South America",599753,19680,9792844,11832936,10.202,25.4,6.704,6885.829,71.51,134741483
"28","BRA","Brazil","South America",22291839,619334,331273910,213993441,25.04,33.5,8.552,14103.452,75.88,13997567130
"29","BRB","Barbados","North America",28565,260,299629,287708,664.463,39.8,14.952,16978.068,79.19,23320641.28
"30","BRN","Brunei","Asia",15470,98,898401,441532,81.347,32.4,4.591,71809.251,75.86,283302605.2
"31","BTN","Bhutan","Asia",2660,3,NA,779900,21.188,28.6,4.885,8708.597,71.78,NA
"32","BWA","Botswana","Africa",219509,2444,NA,2397240,4.044,25.8,3.941,15807.374,69.59,249617234.5
"33","CAF","Central African Republic","Africa",12163,101,NA,4919987,7.479,18.3,3.655,661.24,53.28,13819639.28
"34","CAN","Canada","North America",2182760,30319,68756211,38067913,4.037,41.4,16.984,44017.591,82.43,13044875750
"35","CHE","Switzerland","Europe",1332615,12217,13841354,8715494,214.243,43.1,18.436,57410.166,83.78,2999725451
"36","CHL","Chile","South America",1806494,39115,44313884,19212362,24.282,35.4,11.087,22767.037,80.18,4039653307
"37","CHN","China","Asia",102314,4636,2835332000,1444216102,147.674,38.7,10.641,15308.712,76.91,30423072140
"38","CIV","Cote d'Ivoire","Africa",71004,714,7113233,27053629,76.399,18.7,2.933,3601.006,57.78,229751503
"39","CMR","Cameroon","Africa",109367,1851,NA,27224262,50.885,18.8,3.165,3364.926,59.29,221977955.9
