stratum,y,Nh,N
Manager,18.32753393,420,2721
Manager,12.04797758,420,2721
Manager,23.21467112,420,2721
Manager,13.4076322,420,2721
Manager,19.00667268,420,2721
Manager,11.80397596,420,2721
Manager,17.12043594,420,2721
Manager,14.54957732,420,2721
Manager,12.42827539,420,2721
Manager,15.96644127,420,2721
Manager,20.22548679,420,2721
Manager,8.958248763,420,2721
Manager,16.47381085,420,2721
Manager,21.15916991,420,2721
Manager,16.49597719,420,2721
Manager,16.58828996,420,2721
Manager,13.53031934,420,2721
Manager,15.46232482,420,2721
Manager,19.82684038,420,2721
Manager,16.06934993,420,2721
Manager,12.90001103,420,2721
Manager,17.69929614,420,2721
Manager,16.12644868,420,2721
Manager,15.24068458,420,2721
Manager,17.91998538,420,2721
Manager,15.84080497,420,2721
Manager,17.88103133,420,2721
Manager,17.32872655,420,2721
Non-Manager,14.84301186,2301,2721
Non-Manager,9.979363981,2301,2721
Non-Manager,19.58587902,2301,2721
Non-Manager,13.32724772,2301,2721
Non-Manager,12.47146355,2301,2721
Non-Manager,8.101987508,2301,2721
Non-Manager,7.077086958,2301,2721
Non-Manager,14.30647282,2301,2721
Non-Manager,12.98913871,2301,2721
Non-Manager,12.4690005,2301,2721
Non-Manager,8.64261688,2301,2721
Non-Manager,16.20637767,2301,2721
Non-Manager,8.682592852,2301,2721
Non-Manager,1.171406709,2301,2721
Non-Manager,12.75502984,2301,2721
Non-Manager,6.879243328,2301,2721
Non-Manager,10.19278104,2301,2721
Non-Manager,20.07179951,2301,2721
Non-Manager,18.18322347,2301,2721
Non-Manager,12.14383285,2301,2721
Non-Manager,13.8550131,2301,2721
Non-Manager,18.14542756,2301,2721
Non-Manager,17.19688668,2301,2721
Non-Manager,6.77810468,2301,2721
Non-Manager,14.58968294,2301,2721
Non-Manager,12.54574913,2301,2721
Non-Manager,11.0131532,2301,2721
Non-Manager,16.38044749,2301,2721
Non-Manager,9.666635533,2301,2721
Non-Manager,9.062693396,2301,2721
Non-Manager,10.22502725,2301,2721
Non-Manager,6.360947354,2301,2721
Non-Manager,8.099015721,2301,2721
Non-Manager,15.53416925,2301,2721
Non-Manager,19.78111476,2301,2721
Non-Manager,17.41427821,2301,2721
Non-Manager,9.16869665,2301,2721
Non-Manager,13.58122321,2301,2721
Non-Manager,14.51798501,2301,2721
Non-Manager,19.05097586,2301,2721
Non-Manager,6.749004572,2301,2721
Non-Manager,11.11254086,2301,2721
Non-Manager,9.944707071,2301,2721
Non-Manager,13.90611863,2301,2721
Non-Manager,7.173705857,2301,2721
Non-Manager,10.88648276,2301,2721
Non-Manager,20.16915745,2301,2721
Non-Manager,16.57882568,2301,2721
Non-Manager,14.35552471,2301,2721
Non-Manager,13.63015672,2301,2721
Non-Manager,3.146805487,2301,2721
Non-Manager,10.33945507,2301,2721
Non-Manager,10.26116961,2301,2721
Non-Manager,12.53908085,2301,2721
Non-Manager,12.64036869,2301,2721
Non-Manager,13.97245742,2301,2721
Non-Manager,16.24005401,2301,2721
Non-Manager,15.3216489,2301,2721
Non-Manager,11.4378731,2301,2721
Non-Manager,12.91398336,2301,2721
Non-Manager,13.61606155,2301,2721
Non-Manager,10.49116366,2301,2721
Non-Manager,9.714637812,2301,2721
Non-Manager,5.04714701,2301,2721
Non-Manager,9.433258394,2301,2721
Non-Manager,7.891893906,2301,2721
Non-Manager,5.222846066,2301,2721
Non-Manager,8.217087004,2301,2721
