Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Afghanistan,AFG,2.65833333333333
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Albania,ALB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Algeria,DZA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,American Samoa,ASM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Andorra,AND,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Angola,AGO,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Antigua and Barbuda,ATG,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Argentina,ARG,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Armenia,ARM,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Aruba,ABW,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Australia,AUS,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Austria,AUT,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Azerbaijan,AZE,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,"Bahamas, The",BHS,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bahrain,BHR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bangladesh,BGD,3.075
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Barbados,BRB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Belarus,BLR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Belgium,BEL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Belize,BLZ,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Benin,BEN,3.64166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bermuda,BMU,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bhutan,BTN,3.875
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bolivia,BOL,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bosnia and Herzegovina,BIH,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Botswana,BWA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Brazil,BRA,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,British Virgin Islands,VGB,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Brunei Darussalam,BRN,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Bulgaria,BGR,..
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Burkina Faso,BFA,3.54166666666667
IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,Burundi,BDI,2.93333333333333
