"Country","Code","Year","GovtSpend","GDP","Region","Population","Prob","GDPPerCapita","MilSpend"
"Albania","ALB",2023,1863822443,14962975920,"Europe",2811660,0.000353341315949626,5321.75864791618,397617600
"Algeria","DZA",2023,44321604142,215143978140,"Africa",46164222,0.00580145784030455,4660.40515401733,18263968000
"Angola","AGO",2023,15741572839,103236265970,"Africa",36749909,0.00461836111303963,2809.1570504297,1247846300
"Argentina","ARG",2023,111098899281,591684674129,"South America",45538402,0.00572281104006996,12993.0926019099,4882353000
"Armenia","ARM",2023,1598415044,15406163977,"Asia",2943398,0.000369896830585312,5234.1422998181,1326245800
"Australia","AUS",2023,385802798739,1649424913623,"Oceania",26451126,0.00332411303969519,62357.4555435939,32387990000
"Austria","AUT",2023,84758230499,424607814488,"Europe",9130434,0.00114742165295634,46504.6693824193,4452228000
"Azerbaijan","AZE",2023,NA,57558830022,"Asia",10318209,0.00129668933879035,5578.37411725233,3561670700
"Bahrain","BHR",2023,6908975351,39966811156,"Asia",1569674,0.000197260933673315,25461.8545991078,1622393700
"Bangladesh","BGD",2023,18377804014,323279976841,"Asia",171466986,0.0215482563592882,1885.37738011561,3782793000
"Belarus","BLR",2023,8159786968,59638602543,"Europe",9115679,0.00114556739208666,6542.42021280039,1579331100
"Belgium","BEL",2023,127274553660,528521336864,"Europe",11712891,0.0014719590275903,45123.0474922033,7629396500
"Belize","BLZ",2023,408048285,2534753858,"North America",411112,5.16644455882584e-05,6165.60416139641,30566588
"Benin","BEN",2023,1886972134,17831007125,"Africa",14111035,0.00177333378726846,1263.62149374585,149035300
"Bolivia","BOL",2023,6993160900,38235698454,"South America",12244161,0.0015387237291988,3122.76998432151,588816400
"Bosnia and Herzegovina","BIH",2023,4035858754,20681710969,"Europe",3185072,0.000400268002487608,6493.32604380686,197332510
"Botswana","BWA",2023,5646664981,18029021881,"Africa",2480242,0.000311692015447648,7269.05756817278,485567870
"Brazil","BRA",2023,378393882074,1961080569227,"South America",211140731,0.026534055946347,9288.02585810409,21788291000
"Brunei","BRN",2023,3257934639,13147036779,"Asia",458959,5.76773781420671e-05,28645.3403877035,448911500
"Bulgaria","BGR",2023,11117404233,63094544094,"Europe",6795805,0.000854028823412877,9284.33704233715,1989703600
"Burkina Faso","BFA",2023,3423622015,17163536264,"Africa",23025777,0.00289364942629715,745.405302240181,827153000
"Burundi","BDI",2023,1199319620,3625559222,"Africa",13689455,0.00172035382810624,264.843211216224,145168020
"Cambodia","KHM",2023,2267053720,36329791405,"Asia",17423884,0.00218965952551647,2085.05700594655,667985700
"Cameroon","CMR",2023,4738468020,41656165354,"Africa",28372690,0.00356559599013778,1468.17821482559,456569100
"Canada","CAN",2023,393470561047,1805692180594,"North America",39299098,0.00493871769806923,45947.420487717,27227652000
"Cape Verde","CPV",2023,478189103,2177429478,"Africa",522335,6.56418401465853e-05,4168.64555888462,14353938
"Central African Republic","CAF",2023,158785143,2047921417,"Africa",5152415,0.000647503999921254,397.46825847685,62527024
"Chad","TCD",2023,1162693437,16553201687,"Africa",19319075,0.00242782818101389,856.832000859254,372751870
"Chile","CHL",2023,46015830983,280734996501,"South America",19658833,0.002470525569327,14280.349016699,5470078500
"China","CHN",2023,NA,17611526369126,"Asia",1422584930,0.178776250050257,12379.9472338892,296821400000
"Colombia","COL",2023,57954651135,357280089727,"South America",52321152,0.00657519924161542,6828.59753789443,10779238000
"Congo","COG",2023,871091195,10369226732,"Africa",6182890,0.000777003794545494,1677.08413573588,284994400
"Costa Rica","CRI",2023,11180080268,73105190307,"North America",5105526,0.000641611459228723,14318.8361604661,0
"Cote d'Ivoire","CIV",2023,6895764846,72160377909,"Africa",31165653,0.00391658765407248,2315.38154868759,682177150
"Croatia","HRV",2023,14337440503,66483687609,"Europe",3896023,0.000489613215605731,17064.5008022283,1439060400
"Cyprus","CYP",2023,5084144848,30536911914,"Europe",1344981,0.000169023764063665,22704.3444583976,558878300
"Czechia","CZE",2023,43377204126,220242240981,"Europe",10809722,0.00135845777815583,20374.4593044113,5056277500
"Democratic Republic of Congo","COD",2023,7091496506,57069235865,"Africa",105789733,0.0132945958871911,539.459116179072,794244540
"Denmark","DNK",2023,78536874580,351030642723,"Europe",5948134,0.000747502007712424,59015.2546534762,8132606500
"Dominican Republic","DOM",2023,9917157955,99828029402,"North America",11331269,0.00142400059034137,8809.96024381735,946425800
"East Timor","TLS",2023,957880828,1770794193,"Asia",1384292,0.00017396397748609,1279.20568276057,55111000
"Ecuador","ECU",2023,15101947000,111023744250,"South America",17980079,0.00225955655190821,6174.81960173812,2.692e+09
"Egypt","EGY",2023,48931601018,470892276431,"Africa",114535772,0.0143937106199848,4111.3118478915,3167150000
"El Salvador","SLV",2023,4804148658,28325024473,"North America",6309629,0.000792931084844513,4489.17431959946,454766660
"Equatorial Guinea","GNQ",2023,3061973582,9456161986,"Africa",1847556,0.000232182364983898,5118.20046916034,162192400
"Estonia","EST",2023,5271952574,27578887219,"Europe",1367195,0.00017181539747329,20171.8754230377,1235949700
"Eswatini","SWZ",2023,922881765,4663821718,"Africa",1230507,0.000154637816331003,3790.16268741259,70513370
"Ethiopia","ETH",2023,5143053016,108415879003,"Africa",128691695,0.0161726854822731,842.446585251675,1409020200
"Fiji","FJI",2023,NA,5324525632,"Oceania",924150,0.000116137931732445,5761.53831304442,73348296
"Finland","FIN",2023,65293724100,253269616816,"Europe",5601185,0.000703900926419733,45217.1490168598,5928021000
"France","FRA",2023,639807461840,2688358302961,"Europe",66438828,0.00834936760336274,40463.6623475808,59491963000
"Gabon","GAB",2023,1831959426,16253635205,"Africa",2484790,0.000312263562613713,6541.25105340894,265385810
"Gambia","GMB",2023,215182859,1984568191,"Africa",2697846,0.000339038310417844,735.612110921083,13950935
"Georgia","GEO",2023,2958100968,22963990777,"Asia",3807494,0.000478487776057669,6031.26118570377,508401440
"Germany","DEU",2023,777268634200,3695372350062,"Europe",84548233,0.0106251765538634,43707.2688445423,67285197000
"Ghana","GHA",2023,4806396150,70678009792,"Africa",33787916,0.00424612744877952,2091.81323263619,285375940
"Greece","GRC",2023,43036927690,219083738943,"Europe",10242910,0.00128722651335993,21388.8181135049,7014878700
"Guatemala","GTM",2023,8853084577,81030845277,"North America",18124841,0.00227774879264127,4470.70654451534,437645000
"Guinea","GIN",2023,2076118241,14648645956,"Africa",14405469,0.00181033530844112,1016.88087739455,504667170
"Guinea-Bissau","GNB",2023,268840065,1677635814,"Africa",2153343,0.000270610617681696,779.084341881437,25292392
"Guyana","GUY",2023,NA,19089873040,"South America",826357,0.000103848285292029,23101.2420055739,109674870
"Haiti","HTI",2023,1892891488,14187369712,"North America",11637402,0.00146247232485962,1219.11829736568,11786378
"Honduras","HND",2023,3997942925,26902451582,"North America",10644853,0.00133773869070596,2527.27318846019,522960860
"Hungary","HUN",2023,29173264836,157072489603,"Europe",9686465,0.00121729806946786,16215.6668715574,4355478000
"Iceland","ISL",2023,5216783769,23147265109,"Europe",387559,4.87045400468482e-05,59725.7839683764,0
"India","IND",2023,323334242876,3265719695911,"Asia",1438069597,0.180722208172798,2270.90517922339,82293330000
"Indonesia","IDN",2023,97122679067,1178932006499,"Asia",281190068,0.0353371562205547,4192.65166399476,11258798000
"Iran","IRN",2023,66380193318,515368187132,"Asia",90608708,0.0113867964551957,5687.84390052223,7390861300
"Iraq","IRQ",2023,45069380961,195490074355,"Asia",45074055,0.0056644565519607,4337.0864759117,5518874600
"Ireland","IRL",2023,55970143331,496851698334,"Europe",5196629,0.000653060373360218,95610.3847963747,1269225300
"Israel","ISR",2023,89539250889,413772459124,"Asia",9256311,0.0011632406157142,44701.6591300789,27498527000
"Italy","ITA",2023,364348722003,2019599234310,"Europe",59499452,0.00747729621218839,33943.156893445,36933180000
"Jamaica","JAM",2023,NA,17401946531,"North America",2839785,0.000356875784737134,6127.90987028948,230360210
"Japan","JPN",2023,NA,4601203385713,"Asia",124370947,0.0156296970753509,36995.8056660371,48189110000
"Jordan","JOR",2023,NA,45279041100,"Asia",11439220,0.00143756679265533,3958.22801729489,2450239000
"Kazakhstan","KAZ",2023,27411900210,232848717043,"Asia",20330109,0.00255488482514221,11453.392455643,1164302600
"Kenya","KEN",2023,13582792935,100230916344,"Africa",55339007,0.00695445308349003,1811.21638745704,1053795500
"Kuwait","KWT",2023,36547079800,119958083706,"Asia",4838781,0.000608089614722992,24790.9718803145,7755031600
"Kyrgyzstan","KGZ",2023,1312171661,9217301873,"Asia",7073523,0.000888929644843241,1303.07088462143,483868670
"Latvia","LVA",2023,6504250819,30571453786,"Europe",1882399,0.000236561084840365,16240.6874344918,1253796400
"Lebanon","LBN",2023,1035222478,33686219465,"Asia",5773494,0.000725554998679524,5834.63314675654,286217300
"Lesotho","LSO",2023,760681987,2252257815,"Africa",2311476,0.000290483192002581,974.38079175384,34446236
"Liberia","LBR",2023,NA,3588757484,"Africa",5493035,0.000690309715775505,653.328712451313,62518000
"Libya","LBY",2023,18829491252,55745806520,"Africa",7305659,0.000918102176272818,7630.49664924136,1573682700
"Lithuania","LTU",2023,7140248017,53657151896,"Europe",2854104,0.000358675253486229,18799.9988423687,2162912000
"Luxembourg","LUX",2023,12967917875,70256936375,"Europe",665101,8.35832435569779e-05,105633.484801556,662492500
"Madagascar","MDG",2023,1562249893,13908224364,"Africa",31195937,0.00392039344439286,445.8344804325,101866160
"Malawi","MWI",2023,NA,11755940188,"Africa",21104480,0.00265220002974491,557.035292411848,149582340
"Malaysia","MYS",2023,53209148701,402034268648,"Asia",35126295,0.00441432153949438,11445.3935050081,3925419300
"Mali","MLI",2023,3392505353,21210639746,"Africa",23769130,0.00298706659879848,892.360795115345,785265000
"Malta","MLT",2023,3145338937,18466282602,"Europe",532964,6.69775865907601e-05,34648.2738083623,112636720
"Mauritania","MRT",2023,1677385112,8211183625,"Africa",5022442,0.000631170292837922,1634.89864591766,277161500
"Mauritius","MUS",2023,1908908096,14170187784,"Africa",1273591,0.000160052182668459,11126.1682785133,19936716
"Mexico","MEX",2023,154103173218,1331023107619,"North America",129739761,0.0163043959378908,10259.1765034853,11825910000
"Moldova","MDA",2023,1245123991,9242984685,"Europe",3067072,0.000385438942330243,3013.61842336926,94362904
"Mongolia","MNG",2023,2996493618,15513848972,"Asia",3431938,0.000431291653036828,4520.43392741943,111467040
"Montenegro","MNE",2023,887598941,5161590831,"Europe",633553,7.96186063549055e-05,8147.05451793299,114260530
"Morocco","MAR",2023,26513672768,131006044306,"Africa",37712516,0.00473933193601336,3473.8081199886,5184928300
"Mozambique","MOZ",2023,5280246955,20532020330,"Africa",33635163,0.00422693097906581,610.433204381974,404399200
"Myanmar","MMR",2023,NA,63756973611,"Asia",54133800,0.00680299471819277,1177.76645295545,3140224500
