School_Id,Org_Name,Telephone,Fax,Email,Contact,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Rural_Indicator,Org_Type,Definition,Authority,School_Donations,CoEd_Status,KMEPeakBody,Takiwā,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Statistical_Area_2_Code,Statistical_Area_2_Description,Ward,Latitude,Longitude,Enrolment_Scheme,EQi_Index,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International,Isolation_Index,Language_of_Instruction,BoardingFacilities,CohortEntry,Status,DateSchoolOpened,Region
5,Kerikeri High School,NA,NA,NA,NA,http://www.kerikerihigh.ac.nz,48 Hone Heke Road ,,Kerikeri,PO Box 92,,Kerikeri,245,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103000,Kerikeri Central,Bay of Islands-Whangaroa General Ward,-35.228354,173.955389,Yes,463,00:00.0,1689,1217,522,74,97,32,14,116,1.67,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
6,Broadwood Area School,NA,NA,NA,NA,http://broadwood.school.nz,1041 Broadwood Road ,,Broadwood,PO Box 12,,Broadwood,462,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101700,Kohukohu-Broadwood,Kaikohe-Hokianga General Ward,-35.261248,173.39499,No,558,00:00.0,123,29,117,18,0,0,0,0,2.61,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
7,Okaihau College,NA,NA,NA,NA,http://www.okaihau-college.school.nz,58 Settlers Way ,,Okaihau,58 Settlers Way RD 1,,Okaihau,475,Rural settlement,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102300,Ōkaihau,Kaikohe-Hokianga General Ward,-35.323759,173.765764,Yes,516,00:00.0,277,86,213,34,7,1,2,0,1.83,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
8,Bay of Islands College,NA,NA,NA,NA,http://www.boic.school.nz,1-9 Derrick Road ,,Kawakawa,PO Box 58,,Kawakawa,243,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104600,Kawakawa,Bay of Islands-Whangaroa General Ward,-35.379502,174.075901,Yes,530,00:00.0,499,107,424,35,9,3,3,0,1.5,Some students taught in te reo Māori,No,No,Open,1858-11-17 00:00:00.0000000,Northland Region
9,Northland College,NA,NA,NA,NA,http://www.northlandcollege.school.nz,62 Mangakahia Road ,,Kaikohe,PO Box 261,,Kaikohe,440,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,103501,Kaikohe,Kaikohe-Hokianga General Ward,-35.413889,173.809917,No,552,00:00.0,328,44,301,37,5,0,1,0,1.82,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
10,Te Kura Taumata o Panguru,NA,NA,NA,NA,http://www.panguru.school.nz,2178 West Coast Road ,,Panguru,2178 West Coast Road RD 2,,Kohukohu,492,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,Ngā Kura ā Iwi o Aotearoa Inc,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,101600,Hokianga North,Kaikohe-Hokianga General Ward,-35.380527,173.383068,No,542,00:00.0,117,13,116,7,0,1,1,0,3.11,Some students taught in te reo Māori,No,No,Open,00:00.0,Northland Region
11,Opononi Area School,NA,NA,NA,NA,,263 State Highway 12 ,Omapere,Kaikohe,Private Bag 759,,Kaikohe,440,Rural settlement,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Far North District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,102900,Waipoua Forest,Kaikohe-Hokianga General Ward,-35.528555,173.390212,No,537,00:00.0,161,45,147,15,6,0,2,0,2.8,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
12,Tauraroa Area School,NA,NA,NA,NA,http://www.tauraroa.school.nz,398 Tauraroa Road ,,Maungakaramea,PO Box 36,,Maungakaramea,146,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,107800,Oakleigh-Mangapai,Bream Bay General Ward,-35.873069,174.218169,No,477,00:00.0,433,388,131,12,21,4,5,2,0.95,All students taught in English/other setting,No,No,Open,1858-11-17 00:00:00.0000000,Northland Region
13,Te Kamo High School,NA,NA,NA,NA,http://www.kamohigh.school.nz/,1 Wilkinson Avenue ,Kamo,Whangarei,PO Box 4137,Kamo,Whangarei,141,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106000,Kamo Central,Whangārei Urban General Ward,-35.684394,174.302813,Yes,508,00:00.0,839,585,472,103,50,9,4,15,0.71,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
14,Tikipunga High School,NA,NA,NA,NA,https://tikipungahigh.school.nz/,194 Corks Road ,Tikipunga,Whangarei,PO Box 7041,Tikipunga,Whangarei,144,Large urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106201,Tikipunga North,Whangārei Urban General Ward,-35.683559,174.328317,No,560,00:00.0,375,81,332,38,9,5,2,0,0.7,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
15,Whangārei Boys' High School,NA,NA,NA,NA,http://www.wbhs.school.nz,245 Western Hills Drive ,Avenues,Whangarei,PO Box 5034,,Whangarei,140,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Boys School,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,107100,Whangārei Central,Whangārei Urban General Ward,-35.716116,174.318379,Yes,474,00:00.0,1486,1079,661,129,124,16,15,9,0.6,All students taught in English/other setting,No,No,Open,1878-11-02 00:00:00.0000000,Northland Region
16,Whangārei Girls' High School,NA,NA,NA,NA,http://www.wghs.school.nz,1 Lupton Avenue ,Regent,Whangarei,PO Box 5056,,Whangarei,140,Large urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Girls School,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,107100,Whangārei Central,Whangārei Urban General Ward,-35.713289,174.31955,Yes,471,00:00.0,1569,1201,656,127,146,23,29,27,0.6,All students taught in English/other setting,Yes,No,Open,1878-11-02 00:00:00.0000000,Northland Region
17,Pompallier Catholic College,NA,NA,NA,NA,http://www.pompallier.school.nz/,State Highway 14 ,Maunu,Whangarei,PO Box 10042,Te Mai,Whangarei,143,Large urban area,Secondary (Year 7-15),,State : Integrated,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,106901,Maunu,Mangakahia-Maungatapere General Ward,-35.744864,174.275713,No,424,00:00.0,653,397,116,39,170,17,3,9,0.67,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
18,Mangakahia Area School,NA,NA,NA,NA,http://www.mangakahia.school.nz,1480 Mangakahia Road ,Titoki,Whangarei,Private Bag,Titoki,Whangarei,140,Rural other,Composite,,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,104800,Mangakahia-Hūkerenui,Mangakahia-Maungatapere General Ward,-35.732278,174.058779,No,560,00:00.0,88,41,74,9,0,0,0,0,1.06,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
19,Dargaville High School,NA,NA,NA,NA,http://www.dargavillehighschool.co.nz,Plunket Street ,,Dargaville,Plunket Street,,Dargaville,310,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109301,Dargaville,Wairoa General Ward,-35.931691,173.868056,No,515,00:00.0,412,226,226,60,25,3,0,0,1.58,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
20,Bream Bay College,NA,NA,NA,NA,http://www.breambaycollege.school.nz/,2 Peter Snell Road ,,Ruakaka,PO Box 111,,Ruakaka,151,Small urban area,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Whangarei District,Northland Region,Whangarei Office,Tai Tokerau,Whangārei,Te Tai Tokerau,108800,Ruakākā,Bream Bay General Ward,-35.876079,174.455784,Yes,482,00:00.0,635,443,263,57,44,17,6,4,0.98,Some students taught in te reo Māori,No,No,Open,00:00.0,Northland Region
21,Otamatea High School,NA,NA,NA,NA,http://www.otamatea.school.nz,Bickerstaffe Road ,,Maungaturoto,PO Box 64,,Maungaturoto,547,Rural other,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109600,Maungatūroto,Otamatea General Ward,-36.117231,174.365259,Yes,480,00:00.0,588,481,206,26,44,13,2,0,1.38,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
22,Ruawai College,NA,NA,NA,NA,http://www.ruawaicollege.school.nz,4375 State Highway 12 ,,Ruawai,PO Box 7,,Ruawai,549,Rural other,Secondary (Year 7-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Kaipara District,Northland Region,Whangarei Office,Tai Tokerau,Northland,Te Tai Tokerau,109400,Rūāwai-Matakohe,Otamatea General Ward,-36.122571,174.011673,No,526,00:00.0,148,97,72,14,3,0,0,0,1.86,All students taught in English/other setting,No,No,Open,00:00.0,Northland Region
23,Rodney College,NA,NA,NA,NA,http://www.rodneycollege.school.nz,287 Rodney Street ,,Wellsford,287 Rodney Street,,Wellsford,900,Small urban area,Secondary (Year 9-15),,State,"Donations should not be requested, unless for a school camp",Co-Educational,,Te Tai Raro,Rodney Local Board Area,Auckland Region,Auckland Office,Tāmaki Herenga Tāngata,Kaipara ki Mahurangi,Te Tai Tokerau,110501,Wellsford,Rodney Ward,-36.28816,174.520831,Yes,489,00:00.0,369,278,144,31,27,7,3,0,1.06,All students taught in English/other setting,No,No,Open,00:00.0,Auckland Region
