"Year","Age","Ethnic","Sex","count"
2018,0,"European","Male",100023
2018,0,"European","Female",95328
2018,0,"Maori","Male",41715
2018,0,"Maori","Female",39624
2018,0,"Pacific Peoples","Male",21885
2018,0,"Pacific Peoples","Female",20523
2018,0,"Asian","Male",27597
2018,0,"Asian","Female",26565
2018,0,"MELAA","Male",3336
2018,0,"MELAA","Female",3252
2018,0,"Other","Male",1794
2018,0,"Other","Female",1656
2018,0,"Not Elsewhere Included","Male",42
2018,0,"Not Elsewhere Included","Female",27
2018,5,"European","Male",111546
2018,5,"European","Female",106164
2018,5,"Maori","Male",45246
2018,5,"Maori","Female",42636
2018,5,"Pacific Peoples","Male",23553
2018,5,"Pacific Peoples","Female",22068
2018,5,"Asian","Male",25323
2018,5,"Asian","Female",24102
2018,5,"MELAA","Male",3051
2018,5,"MELAA","Female",2934
2018,5,"Other","Male",2241
2018,5,"Other","Female",2049
2018,5,"Not Elsewhere Included","Male",27
2018,5,"Not Elsewhere Included","Female",15
2018,10,"European","Male",107295
2018,10,"European","Female",103347
2018,10,"Maori","Male",40914
2018,10,"Maori","Female",38886
2018,10,"Pacific Peoples","Male",20697
2018,10,"Pacific Peoples","Female",19767
2018,10,"Asian","Male",21240
2018,10,"Asian","Female",19917
2018,10,"MELAA","Male",2559
2018,10,"MELAA","Female",2343
2018,10,"Other","Male",2046
2018,10,"Other","Female",1860
2018,10,"Not Elsewhere Included","Male",15
2018,10,"Not Elsewhere Included","Female",27
2018,15,"European","Male",104415
2018,15,"European","Female",101196
2018,15,"Maori","Male",36294
2018,15,"Maori","Female",34866
2018,15,"Pacific Peoples","Male",19443
2018,15,"Pacific Peoples","Female",19056
2018,15,"Asian","Male",23280
2018,15,"Asian","Female",22848
2018,15,"MELAA","Male",2568
2018,15,"MELAA","Female",2367
2018,15,"Other","Male",1557
2018,15,"Other","Female",1326
2018,15,"Not Elsewhere Included","Male",96
2018,15,"Not Elsewhere Included","Female",93
2018,20,"European","Male",103293
2018,20,"European","Female",101961
2018,20,"Maori","Male",31641
2018,20,"Maori","Female",31629
2018,20,"Pacific Peoples","Male",17991
2018,20,"Pacific Peoples","Female",17631
2018,20,"Asian","Male",35103
2018,20,"Asian","Female",29265
2018,20,"MELAA","Male",2844
2018,20,"MELAA","Female",2787
2018,20,"Other","Male",1770
2018,20,"Other","Female",1293
2018,20,"Not Elsewhere Included","Male",168
2018,20,"Not Elsewhere Included","Female",228
2018,25,"European","Male",104652
2018,25,"European","Female",106950
2018,25,"Maori","Male",28827
2018,25,"Maori","Female",30228
2018,25,"Pacific Peoples","Male",16107
2018,25,"Pacific Peoples","Female",15516
2018,25,"Asian","Male",43326
2018,25,"Asian","Female",40941
2018,25,"MELAA","Male",4059
2018,25,"MELAA","Female",4221
2018,25,"Other","Male",2367
2018,25,"Other","Female",1659
2018,25,"Not Elsewhere Included","Male",207
2018,25,"Not Elsewhere Included","Female",201
2018,30,"European","Male",92730
2018,30,"European","Female",97629
2018,30,"Maori","Male",22719
2018,30,"Maori","Female",24918
2018,30,"Pacific Peoples","Male",12837
2018,30,"Pacific Peoples","Female",12288
2018,30,"Asian","Male",39747
2018,30,"Asian","Female",42327
2018,30,"MELAA","Male",4455
2018,30,"MELAA","Female",4626
2018,30,"Other","Male",2220
2018,30,"Other","Female",1602
2018,30,"Not Elsewhere Included","Male",159
2018,30,"Not Elsewhere Included","Female",132
2018,35,"European","Male",88686
2018,35,"European","Female",95196
2018,35,"Maori","Male",20658
2018,35,"Maori","Female",22407
2018,35,"Pacific Peoples","Male",11448
2018,35,"Pacific Peoples","Female",11091
2018,35,"Asian","Male",33723
2018,35,"Asian","Female",34962
2018,35,"MELAA","Male",3864
2018,35,"MELAA","Female",3768
2018,35,"Other","Male",2262
2018,35,"Other","Female",1575
2018,35,"Not Elsewhere Included","Male",99
2018,35,"Not Elsewhere Included","Female",66
2018,40,"European","Male",96072
2018,40,"European","Female",104277
2018,40,"Maori","Male",20586
2018,40,"Maori","Female",22548
2018,40,"Pacific Peoples","Male",10398
2018,40,"Pacific Peoples","Female",10401
2018,40,"Asian","Male",22941
2018,40,"Asian","Female",25488
2018,40,"MELAA","Male",2661
2018,40,"MELAA","Female",2571
2018,40,"Other","Male",2712
2018,40,"Other","Female",1818
2018,40,"Not Elsewhere Included","Male",96
2018,40,"Not Elsewhere Included","Female",51
2018,45,"European","Male",112170
2018,45,"European","Female",120402
2018,45,"Maori","Male",21834
2018,45,"Maori","Female",23781
2018,45,"Pacific Peoples","Male",10020
2018,45,"Pacific Peoples","Female",9957
2018,45,"Asian","Male",19527
2018,45,"Asian","Female",23790
2018,45,"MELAA","Male",2157
2018,45,"MELAA","Female",1983
2018,45,"Other","Male",3051
2018,45,"Other","Female",2187
2018,45,"Not Elsewhere Included","Male",81
2018,45,"Not Elsewhere Included","Female",75
2018,50,"European","Male",111660
2018,50,"European","Female",117690
2018,50,"Maori","Male",20022
2018,50,"Maori","Female",21309
2018,50,"Pacific Peoples","Male",8985
2018,50,"Pacific Peoples","Female",9330
2018,50,"Asian","Male",16686
2018,50,"Asian","Female",20358
2018,50,"MELAA","Male",1728
2018,50,"MELAA","Female",1566
2018,50,"Other","Male",2808
2018,50,"Other","Female",2184
2018,50,"Not Elsewhere Included","Male",84
2018,50,"Not Elsewhere Included","Female",123
2018,55,"European","Male",114879
2018,55,"European","Female",120609
2018,55,"Maori","Male",18003
2018,55,"Maori","Female",19848
2018,55,"Pacific Peoples","Male",6951
2018,55,"Pacific Peoples","Female",7314
2018,55,"Asian","Male",14256
2018,55,"Asian","Female",18195
2018,55,"MELAA","Male",1287
2018,55,"MELAA","Female",1239
2018,55,"Other","Male",2712
2018,55,"Other","Female",2112
2018,55,"Not Elsewhere Included","Male",129
2018,55,"Not Elsewhere Included","Female",204
2018,60,"European","Male",102405
2018,60,"European","Female",107259
2018,60,"Maori","Male",13131
2018,60,"Maori","Female",14559
2018,60,"Pacific Peoples","Male",5403
2018,60,"Pacific Peoples","Female",5484
2018,60,"Asian","Male",12900
2018,60,"Asian","Female",16374
2018,60,"MELAA","Male",936
2018,60,"MELAA","Female",882
2018,60,"Other","Male",1971
2018,60,"Other","Female",1482
2018,60,"Not Elsewhere Included","Male",228
2018,60,"Not Elsewhere Included","Female",264
2018,65,"European","Male",95001
2018,65,"European","Female",99186
2018,65,"Maori","Male",9717
2018,65,"Maori","Female",10728
2018,65,"Pacific Peoples","Male",3984
2018,65,"Pacific Peoples","Female",4194
2018,65,"Asian","Male",9816
2018,65,"Asian","Female",10965
2018,65,"MELAA","Male",660
2018,65,"MELAA","Female",564
2018,65,"Other","Male",1419
2018,65,"Other","Female",1074
2018,65,"Not Elsewhere Included","Male",237
2018,65,"Not Elsewhere Included","Female",243
2018,70,"European","Male",78984
2018,70,"European","Female",83766
2018,70,"Maori","Male",5913
2018,70,"Maori","Female",6792
2018,70,"Pacific Peoples","Male",2550
2018,70,"Pacific Peoples","Female",2883
