"Year","Age","Sex","count"
2018,0,"Male",152127
2018,0,"Female",144468
2018,5,"Male",166269
2018,5,"Female",157248
2018,10,"Male",156912
2018,10,"Female",149922
2018,15,"Male",156819
2018,15,"Female",151296
2018,20,"Male",168069
2018,20,"Female",158736
2018,25,"Male",178548
2018,25,"Female",175809
2018,30,"Male",159297
2018,30,"Female",164859
2018,35,"Male",147096
2018,35,"Female",152658
2018,40,"Male",142842
2018,40,"Female",151740
2018,45,"Male",157101
2018,45,"Female",167652
2018,50,"Male",152418
2018,50,"Female",160833
2018,55,"Male",150195
2018,55,"Female",159462
2018,60,"Male",131277
2018,60,"Female",139404
2018,65,"Male",116751
2018,65,"Female",121920
2018,70,"Male",92229
2018,70,"Female",98028
2018,75,"Male",63636
2018,75,"Female",72132
2018,80,"Male",38676
2018,80,"Female",47928
2018,85,"Male",22134
2018,85,"Female",32241
2018,90,"Male",8166
2018,90,"Female",15753
2018,95,"Male",1599
2018,95,"Female",4344
2018,100,"Male",111
2018,100,"Female",537
2013,0,"Male",142914
2013,0,"Female",135969
2013,5,"Male",139668
2013,5,"Female",133929
2013,10,"Male",140250
2013,10,"Female",133713
2013,15,"Male",145572
2013,15,"Female",140853
2013,20,"Male",140913
2013,20,"Female",141786
2013,25,"Male",122061
2013,25,"Female",130353
2013,30,"Male",118551
2013,30,"Female",130500
2013,35,"Male",121848
2013,35,"Female",136269
2013,40,"Male",138297
2013,40,"Female",155589
2013,45,"Male",138750
2013,45,"Female",151536
2013,50,"Male",139047
2013,50,"Female",150630
2013,55,"Male",122808
2013,55,"Female",131805
2013,60,"Male",112467
2013,60,"Female",118869
2013,65,"Male",95985
2013,65,"Female",100638
2013,70,"Male",71439
2013,70,"Female",77151
2013,75,"Male",48633
2013,75,"Female",55713
2013,80,"Male",34386
2013,80,"Female",44064
2013,85,"Male",18243
2013,85,"Female",28920
2013,90,"Male",5706
2013,90,"Female",12933
2013,95,"Male",1011
2013,95,"Female",3180
2013,100,"Male",111
2013,100,"Female",438
2006,0,"Male",135819
2006,0,"Female",129954
2006,5,"Male",141906
2006,5,"Female",135054
2006,10,"Male",152307
2006,10,"Female",144081
2006,15,"Male",148923
2006,15,"Female",145692
2006,20,"Male",133164
2006,20,"Female",136698
2006,25,"Male",116307
2006,25,"Female",125601
2006,30,"Male",128625
2006,30,"Female",143814
2006,35,"Male",139752
2006,35,"Female",155037
2006,40,"Male",147153
2006,40,"Female",158892
2006,45,"Male",139704
2006,45,"Female",147012
2006,50,"Male",122205
2006,50,"Female",126882
2006,55,"Male",114777
2006,55,"Female",119082
2006,60,"Male",89808
2006,60,"Female",93807
2006,65,"Male",74046
2006,65,"Female",77871
2006,70,"Male",56346
2006,70,"Female",61128
2006,75,"Male",45831
2006,75,"Female",53925
2006,80,"Male",28341
2006,80,"Female",41952
2006,85,"Male",12393
2006,85,"Female",24489
2006,90,"Male",3843
2006,90,"Female",10443
2006,95,"Male",681
2006,95,"Female",2457
2006,100,"Male",129
2006,100,"Female",414
